                MJD               R_low               R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            55704.5                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55706.855258764605                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55709.210517529216                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55711.56577629382                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55713.92103505843                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55716.27629382304                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55718.63155258765                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55720.98681135225                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55723.34207011686                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55725.69732888147                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55728.052587646074                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55730.407846410686                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55732.76310517529                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
   55735.1183639399                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55737.47362270451                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55739.82888146912                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55742.18414023372                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55744.53939899833                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55746.89465776294                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55749.249916527544                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55751.605175292156                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55753.96043405676                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55756.31569282137                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55758.67095158598                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55761.02621035058                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55763.38146911519                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
   55765.7367278798                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55768.09198664441                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55770.447245409014                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55772.802504173625                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55775.15776293823                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55777.51302170284                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55779.868280467446                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55782.22353923205                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55784.57879799666                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55786.93405676127                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55789.28931552588                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55791.64457429048                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55793.999833055095                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
   55796.3550918197                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55798.710350584304                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 55801.065609348916                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55803.42086811352                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55805.77612687813                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55808.13138564274                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  55810.48664440735                 0.0                 0.0                     0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
